label
CCC(CCC(C)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C
COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1
C[C@]12CCC3C(CC(=O)C4C[C@@H](O)CC[C@@]43C)C1CCC2=O
C[C@]12CCC3C(C[C@@H](O)[C@H]4C[C@@H](O)CC[C@]34C)C1CC[C@@H]2O
C[C@]12CCC3C(CC(=O)[C@H]4CC(=O)CC[C@]34C)C1CCC2=O
C[C@]12CCC3C(C[C@@H](Cl)[C@@]4(Cl)C[C@@H](O)CC[C@]34C)C1CCC2=O
C[C@]12CCC3C(C[C@@H](Cl)[C@@]4(Cl)C[C@@H](O)CC[C@]34C)C1CC[C@@H]2O
C[C@]1(O)CCC2C3CC(=O)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C
C[C@]1(O)CCC2C3CC(=O)[C@H]4CC(=O)CC[C@]4(C)C3CC[C@@]21C
C[C@]1(O)CCC2C3C[C@@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
CC[C@]1(O)CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@@]21C
CC[C@]1(O)CCC2C3CC(=O)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C
CC[C@]1(O)CCC2C3C[C@@H](O)C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
C[C@]1(O)CCC2C3C[C@@H](O)C4=C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
CCCCCC(=O)O[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C
CC1=CC(O)C(O)C2(C)C1CC1OC(=O)C(O)C3(O)C4(C)OCC13C2C(O)C4O
COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2
COc1c(CO)c(O)cc2c1C(=O)c1ccccc1C2=O
C=CC[N+]12CCc3cc(OC)c(OC)cc3[C@@H]1Cc1ccc(OC)c(OC)c1C2
COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2
COc1ccc(-c2oc3c(CCC(C)(C)O[C@@H]4O[C@H](COC(C)=O)C(OC(C)=O)[C@H](OC(C)=O)C4OC(C)=O)c(OC(C)=O)cc(O)c3c(=O)c2O[C@@H]2OC(C)[C@H](OC(C)=O)C(OC(C)=O)C2OC(C)=O)cc1
CC(=O)OCc1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)cc1
CC1O[C@@H](OC2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)C(O)[C@@H]2O)C(O)C(O)[C@H]1O
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5OC(C)[C@H](O)C(O)C5O)C(O)[C@H](O)C4O)cc3O2)cc1O
CCC(CC[C@@H](C)C1CCC2C3CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC21C)C(C)C
COc1cc2c(cc1OC)C1=Cc3ccc(OC)c(OC)c3CN1CC2
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)C(O)[C@@H](O)C1O
Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc(O)c2C(c2ccc(O)cc2)C4C2c3cc(O)cc4c3C(c3cc(O)cc(O)c3C2c2ccc(O)cc2)C(c2ccc(O)cc2)O4)cc1
COc1cc([C@H]2OC[C@@H]3[C@@H](c4cc(OC)c(OC)c(OC)c4)OC[C@H]23)cc(OC)c1OC
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)C(O)C2O)c2nccnc12
CC(C)=CCC1=C(O)[C@](O)(CC=C(C)C)C(O)=C(C(=O)CC(C)C)C1=O
COCC1Oc2ccc(-c3oc4cc(OC)cc(OC)c4c(=O)c3OC)cc2OC1c1ccc(OC)c(OC)c1
COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1C1=COC(C)(C)C1=O
COc1ccc2c(c1)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4
COc1ccc(C(=O)C=Cc2ccccc2)c(O)c1
Brc1c(OCc2ccccc2)cc(OCc2ccccc2)c2c1O[C@H](c1ccc(OCc3ccccc3)c(OCc3ccccc3)c1)[C@@H](OCc1ccccc1)C2
COc1ccc([C@H]2c3cc(OC)c(OC)cc3C[C@@H](C)[C@@H]2C)cc1OC
COc1c2c(c(CC=C(C)C)c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2
COc1ccc([C@H]2O[C@@H](c3ccc(OC)c(OC)c3)[C@H](C)[C@@H]2C)cc1OC
COc1cc([C@@H]2OC[C@]3(OC(C)=O)[C@@H](c4cc(OC)c(OC)cc4[N+](=O)[O-])OC[C@H]23)c([N+](=O)[O-])cc1OC
COc1cc([C@H]2OC[C@@H]3[C@@H](c4ccc(OC(C)=O)c(OC)c4)OC[C@H]23)ccc1OC(C)=O
COc1c2c(c(CC=C(C)C)c3oc(=O)c(-c4ccc(O)cc4)c(OC(C)=O)c13)OC(C)(C)C=C2
